"","Y_house_price_of_unit_area","X1_transaction_date","X1_transaction_year","X2_transaction_month","X3_house_age","X4_distance_to_the_nearest_MRT_station","X5_number_of_convenience_stores","X6_latitude","X7_longitude"
"1",39.7,2013.25,"2013","03",37.8,590.9292,1,24.97153,121.53559
"2",42.1,2012.75,"2012","09",15.9,289.3248,5,24.98203,121.54348
"3",53.3,2012.6666667,"2012","08",30.6,143.8383,8,24.98155,121.54142
"4",39.5,2012.8333333,"2012","10",18,373.3937,8,24.9866,121.54082
"5",14.7,2012.8333333,"2012","10",16.2,4074.736,0,24.94235,121.50357
"6",42.3,2013,"2012","12",13.2,492.2313,5,24.96515,121.53737
"7",50.5,2013.5833333,"2013","07",35.7,579.2083,2,24.9824,121.54619
"8",40.2,2012.9166667,"2012","11",32.4,265.0609,8,24.98059,121.53986
"9",33.1,2013,"2012","12",12.9,187.4823,1,24.97388,121.52981
"10",52.2,2013.5,"2013","06",5.2,390.5684,5,24.97937,121.54245
"11",51,2013.4166667,"2013","05",16.4,289.3248,5,24.98203,121.54348
"12",40.6,2013.0833333,"2013","01",12.8,732.8528,0,24.97668,121.52518
"13",41.5,2013,"2012","12",33.9,157.6052,7,24.96628,121.54196
"14",29.4,2013.4166667,"2013","05",20,1626.083,3,24.96622,121.51668
"15",55.3,2013.1666667,"2013","02",30.1,718.2937,3,24.97509,121.53644
"16",50.2,2013.5,"2013","06",14.4,169.9803,1,24.97369,121.52979
"17",58.1,2013.5833333,"2013","07",6.6,90.45606,9,24.97433,121.5431
"18",47.4,2013.5,"2013","06",13.6,319.0708,6,24.96495,121.54277
"19",48.2,2013.4166667,"2013","05",32.8,204.1705,8,24.98236,121.53923
"20",30.5,2013.4166667,"2013","05",14.7,1717.193,2,24.96447,121.51649
"21",12.8,2013.0833333,"2013","01",32,1156.777,0,24.94935,121.53046
"22",49,2013.25,"2013","03",1.1,193.5845,6,24.96571,121.54089
"23",46.1,2013.1666667,"2013","02",33.2,121.7262,10,24.98178,121.54059
"24",34.1,2012.75,"2012","09",34.4,512.7871,6,24.98748,121.54301
"25",51.4,2013.25,"2013","03",16.2,289.3248,5,24.98203,121.54348
"26",29.8,2012.9166667,"2012","11",38.2,552.4371,2,24.97598,121.53381
"27",27,2012.8333333,"2012","10",1.8,1455.798,1,24.9512,121.549
"28",23.7,2013.25,"2013","03",17.8,1783.18,3,24.96731,121.51486
"29",24.7,2012.8333333,"2012","10",10.3,3079.89,0,24.9546,121.56627
"30",21.8,2013.1666667,"2013","02",18.2,2179.59,3,24.96299,121.51252
"31",38.9,2013.0833333,"2013","01",13.3,492.2313,5,24.96515,121.53737
"32",25.7,2013.1666667,"2013","02",20.9,2185.128,3,24.96322,121.51237
"33",52.7,2012.8333333,"2012","10",5.9,90.45606,9,24.97433,121.5431
"34",20.9,2013.5833333,"2013","07",18.1,1783.18,3,24.96731,121.51486
"35",43.5,2013.0833333,"2013","01",0,274.0144,1,24.9748,121.53059
"36",40.3,2012.6666667,"2012","08",29.1,506.1144,4,24.97845,121.53889
"37",67.7,2013.25,"2013","03",40.9,122.3619,8,24.96756,121.5423
"38",36.5,2013.5833333,"2013","07",27.3,337.6016,6,24.96431,121.54063
"39",39.1,2013.0833333,"2013","01",34,157.6052,7,24.96628,121.54196
"40",33.6,2013.25,"2013","03",10.4,276.449,5,24.95593,121.53913
"41",30,2013.1666667,"2013","02",39.2,424.7132,7,24.97429,121.53917
"42",42.3,2013.5,"2013","06",35.3,616.5735,8,24.97945,121.53642
"43",63.3,2013.0833333,"2013","01",41.4,281.205,8,24.97345,121.54093
"44",42,2013.0833333,"2013","01",33,181.0766,9,24.97697,121.54262
"45",16.7,2013.3333333,"2013","04",16.7,4082.015,0,24.94155,121.50381
"46",34,2013,"2012","12",19.1,461.1016,5,24.95425,121.5399
"47",28.5,2012.8333333,"2012","10",34.9,567.0349,4,24.97003,121.5458
"48",28.8,2013.0833333,"2013","01",17.7,837.7233,0,24.96334,121.54767
"49",23,2013,"2012","12",17.6,837.7233,0,24.96334,121.54767
"50",54.4,2013.0833333,"2013","01",1.1,193.5845,6,24.96571,121.54089
"51",18.6,2012.75,"2012","09",13.5,4197.349,0,24.93885,121.50383
"52",20,2013.1666667,"2013","02",13.8,4082.015,0,24.94155,121.50381
"53",38.1,2013.0833333,"2013","01",36.6,488.8193,8,24.97015,121.54494
"54",37.4,2012.75,"2012","09",17.7,350.8515,1,24.97544,121.53119
"55",47.9,2013.0833333,"2013","01",10.1,279.1726,7,24.97528,121.54541
"56",42,2012.8333333,"2012","10",12.5,561.9845,5,24.98746,121.54391
"57",22.9,2012.9166667,"2012","11",14.7,1935.009,2,24.96386,121.51458
"58",37.4,2013.0833333,"2013","01",27.6,515.1122,5,24.96299,121.5432
"59",41,2013.1666667,"2013","02",27.5,394.0173,7,24.97305,121.53994
"60",48,2012.9166667,"2012","11",8.9,1406.43,0,24.98573,121.52758
"61",19.1,2013.25,"2013","03",30.3,1264.73,0,24.94883,121.52954
"62",31.3,2013.5833333,"2013","07",6.2,1939.749,1,24.95155,121.55387
"63",34.2,2012.75,"2012","09",37.9,488.5727,1,24.97349,121.53451
"64",45.7,2012.75,"2012","09",0,208.3905,6,24.95618,121.53844
"65",32.1,2012.6666667,"2012","08",7.1,2175.03,3,24.96305,121.51254
"66",30.7,2013.5,"2013","06",4,2147.376,3,24.96299,121.51284
"67",41.6,2013.25,"2013","03",3.7,577.9615,6,24.97201,121.54722
"68",28.1,2013.4166667,"2013","05",18.5,2175.744,3,24.9633,121.51243
"69",45.9,2013.4166667,"2013","05",13.1,561.9845,5,24.98746,121.54391
"70",55,2013.25,"2013","03",3.8,383.8624,5,24.98085,121.54391
"71",42.3,2013.4166667,"2013","05",16.9,368.1363,8,24.9675,121.54451
"72",42.7,2013.1666667,"2013","02",43.8,57.58945,7,24.9675,121.54069
"73",53,2013.4166667,"2013","05",16.4,289.3248,5,24.98203,121.54348
"74",69.7,2013.3333333,"2013","04",0,292.9978,6,24.97744,121.54458
"75",28.5,2012.8333333,"2012","10",12.7,187.4823,1,24.97388,121.52981
"76",59,2013.5833333,"2013","07",6.6,90.45606,9,24.97433,121.5431
"77",46.8,2012.75,"2012","09",11.4,390.5684,5,24.97937,121.54245
"78",46.2,2013.1666667,"2013","02",16.2,289.3248,5,24.98203,121.54348
"79",46.1,2012.6666667,"2012","08",15.6,289.3248,5,24.98203,121.54348
"80",50,2012.6666667,"2012","08",5.6,90.45606,9,24.97433,121.5431
"81",55.2,2012.8333333,"2012","10",0,185.4296,0,24.9711,121.5317
"82",42.8,2013.3333333,"2013","04",8.3,104.8101,5,24.96674,121.54067
"83",30.8,2013.4166667,"2013","05",13.2,1712.632,2,24.96412,121.5167
"84",48.2,2013.25,"2013","03",34.4,126.7286,8,24.96881,121.54089
"85",37.4,2013.3333333,"2013","04",37.3,587.8877,8,24.97077,121.54634
"86",44.8,2013.3333333,"2013","04",4.7,387.7721,9,24.98118,121.53788
"87",11.2,2013.5833333,"2013","07",17.4,6488.021,1,24.95719,121.47353
"88",24.8,2012.75,"2012","09",14.2,1801.544,1,24.95153,121.55254
"89",12.2,2013,"2012","12",30.9,6396.283,1,24.94375,121.47883
"90",45.5,2012.9166667,"2012","11",2.1,451.2438,5,24.97563,121.54694
"91",44.9,2013.4166667,"2013","05",0,338.9679,9,24.96853,121.54413
"92",34.2,2013.0833333,"2013","01",38.5,665.0636,3,24.97503,121.53692
"93",33.4,2013.5,"2013","06",4,2147.376,3,24.96299,121.51284
"94",44.3,2013.4166667,"2013","05",40.1,123.7429,8,24.97635,121.54329
"95",63.2,2013.5,"2013","06",5.3,259.6607,6,24.97585,121.54516
"96",25,2012.75,"2012","09",29.6,769.4034,7,24.98281,121.53408
"97",44.2,2013.4166667,"2013","05",21.7,512.5487,4,24.974,121.53842
"98",29.7,2013.5,"2013","06",18.1,837.7233,0,24.96334,121.54767
"99",50.7,2013,"2012","12",1,193.5845,6,24.96571,121.54089
"100",14.4,2013.3333333,"2013","04",24,4527.687,0,24.94741,121.49628
"101",22.1,2013.4166667,"2013","05",17.9,1783.18,3,24.96731,121.51486
"102",40.1,2013.4166667,"2013","05",17.2,390.5684,5,24.97937,121.54245
"103",28.4,2013.5833333,"2013","07",4,2147.376,3,24.96299,121.51284
"104",25.3,2013.3333333,"2013","04",17.5,995.7554,0,24.96305,121.54915
"105",18.2,2013.5,"2013","06",16.8,4066.587,0,24.94297,121.50342
"106",23.6,2013.5,"2013","06",13.5,2147.376,3,24.96299,121.51284
"107",44.7,2013.5,"2013","06",4.9,387.7721,9,24.98118,121.53788
"108",32.2,2013.4166667,"2013","05",13.1,1164.838,4,24.99156,121.53406
"109",44,2012.75,"2012","09",0,208.3905,6,24.95618,121.53844
"110",42.2,2012.6666667,"2012","08",33.4,186.9686,6,24.96604,121.54211
"111",42.2,2012.9166667,"2012","11",19.5,306.5947,9,24.98034,121.53951
"112",63.3,2013.4166667,"2013","05",0,292.9978,6,24.97744,121.54458
"113",42.5,2012.6666667,"2012","08",12.6,383.2805,7,24.96735,121.54464
"114",38.4,2012.75,"2012","09",7.8,104.8101,5,24.96674,121.54067
"115",23.1,2013.3333333,"2013","04",21.7,1055.067,0,24.96211,121.54928
"116",19.2,2012.8333333,"2012","10",13.9,4573.779,0,24.94867,121.49507
"117",40.2,2012.75,"2012","09",29.3,529.7771,8,24.98102,121.53655
"118",40.9,2012.8333333,"2012","10",34.8,175.6294,8,24.97347,121.54271
"119",25.3,2013.5,"2013","06",23,3947.945,0,24.94783,121.50243
"120",13.7,2012.8333333,"2012","10",31.7,1160.632,0,24.94968,121.53009
"121",15.4,2013,"2012","12",13.7,4082.015,0,24.94155,121.50381
"122",34.3,2013.5,"2013","06",13.2,1164.838,4,24.99156,121.53406
"123",52.5,2013,"2012","12",8.1,104.8101,5,24.96674,121.54067
"124",53.5,2012.9166667,"2012","11",3.5,56.47425,7,24.95744,121.53711
"125",47.7,2012.6666667,"2012","08",3.1,577.9615,6,24.97201,121.54722
"126",49.5,2013.25,"2013","03",5.4,390.5684,5,24.97937,121.54245
"127",39.3,2012.75,"2012","09",12.9,250.631,7,24.96606,121.54297
"128",42,2013.4166667,"2013","05",21.7,463.9623,9,24.9703,121.54458
"129",39.3,2012.9166667,"2012","11",13,492.2313,5,24.96515,121.53737
"130",35.3,2013.0833333,"2013","01",42.7,443.802,6,24.97927,121.53874
"131",31.3,2013.5,"2013","06",4.1,2147.376,3,24.96299,121.51284
"132",38.8,2013,"2012","12",39.6,480.6977,4,24.97353,121.53885
"133",24.6,2012.9166667,"2012","11",14.7,1360.139,1,24.95204,121.54842
"134",31.6,2013.4166667,"2013","05",18.2,451.6419,8,24.96945,121.5449
"135",56.2,2012.6666667,"2012","08",3.1,383.8624,5,24.98085,121.54391
"136",39.7,2012.6666667,"2012","08",34.9,179.4538,8,24.97349,121.54245
"137",47.1,2013.0833333,"2013","01",17.2,189.5181,8,24.97707,121.54308
"138",48.1,2013.3333333,"2013","04",19.2,383.7129,8,24.972,121.54477
